"Household income statistics by household type: Census metropolitan areas, tracted census agglomerations and census tracts 1"
"Frequency: Occasional"
"Table: 98-10-0058-01"
"Release date: 2022-07-13"
"Geography: Census metropolitan area, Census agglomeration, Census tract"
"Universe: Private households in occupied private dwellings, 2021 and 2016 censuses — 100% data"
"Variable List: Household type including census family structure (11), Household size (7), Household income statistics (6)"

"Geography","Household size (7) 2","Household type including census family structure (11)","Household income statistics (6)","Vector","Coordinate","2021"
,,,"Median household total income (2020) (2020 constant dollars)","..","238.1.1.3","232,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","238.1.1.6","224,000"
"0007.06 - Calgary i239",,,"Number of households (2021) 4 5 6","..","239.1.1.1","1,750"
,,,"Median household total income (2020) (2020 constant dollars)","..","239.1.1.3","75,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","239.1.1.6","73,000"
"0007.07 - Calgary i240",,,"Number of households (2021) 4 5 6","..","240.1.1.1","545"
,,,"Median household total income (2020) (2020 constant dollars)","..","240.1.1.3","144,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","240.1.1.6","..."
"0008.00 - Calgary i241",,,"Number of households (2021) 4 5 6","..","241.1.1.1","1,145"
,,,"Median household total income (2020) (2020 constant dollars)","..","241.1.1.3","117,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","241.1.1.6","..."
"0009.00 - Calgary i242",,,"Number of households (2021) 4 5 6","..","242.1.1.1","1,210"
,,,"Median household total income (2020) (2020 constant dollars)","..","242.1.1.3","67,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","242.1.1.6","68,000"
"0010.00 - Calgary i243",,,"Number of households (2021) 4 5 6","..","243.1.1.1","3,840"
,,,"Median household total income (2020) (2020 constant dollars)","..","243.1.1.3","58,800"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","243.1.1.6","59,200"
"0011.00 - Calgary i244",,,"Number of households (2021) 4 5 6","..","244.1.1.1","1,350"
,,,"Median household total income (2020) (2020 constant dollars)","..","244.1.1.3","103,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","244.1.1.6","89,000"
"0012.00 - Calgary i245",,,"Number of households (2021) 4 5 6","..","245.1.1.1","1,710"
,,,"Median household total income (2020) (2020 constant dollars)","..","245.1.1.3","83,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","245.1.1.6","78,500"
"0013.00 - Calgary i246",,,"Number of households (2021) 4 5 6","..","246.1.1.1","2,230"
,,,"Median household total income (2020) (2020 constant dollars)","..","246.1.1.3","65,500"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","246.1.1.6","62,800"
"0014.00 - Calgary i247",,,"Number of households (2021) 4 5 6","..","247.1.1.1","1,905"
,,,"Median household total income (2020) (2020 constant dollars)","..","247.1.1.3","136,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","247.1.1.6","121,000"
"0015.00 - Calgary i248",,,"Number of households (2021) 4 5 6","..","248.1.1.1","1,315"
,,,"Median household total income (2020) (2020 constant dollars)","..","248.1.1.3","136,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","248.1.1.6","120,000"
"0016.00 - Calgary i249",,,"Number of households (2021) 4 5 6","..","249.1.1.1","1,950"
,,,"Median household total income (2020) (2020 constant dollars)","..","249.1.1.3","101,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","249.1.1.6","89,000"
"0017.01 - Calgary i250",,,"Number of households (2021) 4 5 6","..","250.1.1.1","2,095"
,,,"Median household total income (2020) (2020 constant dollars)","..","250.1.1.3","83,000"
